|,||,||__rssi1,||__rssi2,||__rssi3,||__x1,||__x2,||__x3,||__y1,||__y2,||__y3
,1548659581078,-73,-89,-85,11,33,29,29,14.2,33.5
,1548659582193,-74,-88,-100,11,33,29,29,14.2,33.5
,1548659583304,-73,-90,-97,11,33,29,29,14.2,33.5
,1548659584415,-71,-91,-93,11,33,29,29,14.2,33.5
,1548659586656,-67,-92,-89,11,33,29,29,14.2,33.5
,1548659625957,-66,-86,-91,11,33,29,29,14.2,33.5
,1548659632672,-59,-87,-95,11,33,29,29,14.2,33.5
,1548659639408,-62,-89,-96,11,33,29,29,14.2,33.5
,1548659657340,-89,-93,-93,11,33,29,29,14.2,33.5
,1548659704434,-69,-87,-90,11,33,29,29,14.2,33.5
,1548659706673,-70,-88,-91,11,33,29,29,14.2,33.5
,1548659727993,-68,-91,-94,11,33,29,29,14.2,33.5
,1548659736922,-64,-90,-89,11,33,29,29,14.2,33.5
,1548659744766,-72,-89,-94,11,33,29,29,14.2,33.5
,1548659745878,-72,-89,-93,11,33,29,29,14.2,33.5
,1548659748133,-67,-96,-93,11,33,29,29,14.2,33.5
,1548659762748,-68,-96,-90,11,33,29,29,14.2,33.5
,1548659763859,-68,-96,-91,11,33,29,29,14.2,33.5
,1548659766099,-67,-96,-90,11,33,29,29,14.2,33.5
,1548659776236,-66,-90,-95,11,33,29,29,14.2,33.5
,1548659780700,-78,-88,-89,11,33,29,29,14.2,33.5
,1548728622344,-61,-86,-94,11,33,29,29,14.2,33.5
,1548728637992,-64,-91,-93,11,33,29,29,14.2,33.5
,1548728655885,-65,-89,-91,11,33,29,29,14.2,33.5
,1548728662591,-61,-95,-91,11,33,29,29,14.2,33.5
,1548728663715,-62,-90,-93,11,33,29,29,14.2,33.5
,1548728667044,-63,-88,-91,11,33,29,29,14.2,33.5
,1548728668171,-63,-91,-93,11,33,29,29,14.2,33.5
,1548728669281,-75,-88,-92,11,33,29,29,14.2,33.5
,1548728671534,-64,-90,-91,11,33,29,29,14.2,33.5
,1548728674895,-64,-90,-91,11,33,29,29,14.2,33.5
,1548728678251,-58,-84,-92,11,33,29,29,14.2,33.5
,1548728682737,-60,-92,-93,11,33,29,29,14.2,33.5
,1548728689459,-66,-94,-92,11,33,29,29,14.2,33.5
,1548728696195,-62,-82,-94,11,33,29,29,14.2,33.5
,1548728697306,-62,-88,-91,11,33,29,29,14.2,33.5
,1548728698414,-63,-87,-95,11,33,29,29,14.2,33.5
,1548728721410,-56,-83,-90,11,33,29,29,14.2,33.5
,1548728724754,-58,-88,-94,11,33,29,29,14.2,33.5
