,timestamp,rssi1,rssi2,rssi3,x,y,block
184,2019-01-28 14:03:19.152,-73,-91,-94,7.35,16.8,12
185,2019-01-28 14:03:21.375,-73,-92,-94,7.35,16.8,12
186,2019-01-28 14:03:24.742,-70,-95,-94,7.35,16.8,12
187,2019-01-28 14:03:32.606,-77,-90,-96,7.35,16.8,12
188,2019-01-28 14:03:34.864,-83,-90,-98,7.35,16.8,12
189,2019-01-28 14:03:35.995,-82,-93,-95,7.35,16.8,12
190,2019-01-28 14:04:07.362,-72,-92,-95,7.35,16.8,12
191,2019-01-28 14:04:25.261,-73,-91,-97,7.35,16.8,12
192,2019-01-28 14:04:33.059,-76,-91,-95,7.35,16.8,12
193,2019-01-28 14:04:34.187,-75,-91,-93,7.35,16.8,12
194,2019-01-28 14:04:48.305,-61,-96,-86,7.35,17.85,13
195,2019-01-28 14:04:49.416,-77,-90,-87,7.35,17.85,13
196,2019-01-28 14:04:50.543,-67,-91,-82,7.35,17.85,13
197,2019-01-28 14:04:51.655,-63,-89,-85,7.35,17.85,13
198,2019-01-28 14:04:52.784,-60,-87,-84,7.35,17.85,13
199,2019-01-28 14:04:53.895,-59,-90,-85,7.35,17.85,13
200,2019-01-28 14:04:57.245,-66,-93,-87,7.35,17.85,13
201,2019-01-28 14:05:00.597,-66,-92,-90,7.35,17.85,13
202,2019-01-28 14:05:03.949,-63,-90,-84,7.35,17.85,13
203,2019-01-28 14:05:07.314,-59,-89,-84,7.35,17.85,13
204,2019-01-28 14:05:10.667,-59,-88,-84,7.35,17.85,13
205,2019-01-28 14:05:21.865,-60,-92,-79,7.35,17.85,13
206,2019-01-28 14:05:24.088,-58,-88,-85,7.35,17.85,13
207,2019-01-28 14:05:31.919,-68,-89,-88,7.35,17.85,13
208,2019-01-28 14:05:33.047,-65,-86,-87,7.35,17.85,13
209,2019-01-28 14:05:35.270,-67,-91,-88,7.35,17.85,13
210,2019-01-28 14:05:36.399,-67,-91,-88,7.35,17.85,13
211,2019-01-28 14:05:38.622,-60,-90,-85,7.35,17.85,13
212,2019-01-28 14:05:58.124,-74,-90,-93,8.4,16.8,14
213,2019-01-28 14:06:14.931,-65,-92,-93,8.4,16.8,14
214,2019-01-28 14:06:38.488,-75,-92,-95,8.4,16.8,14
215,2019-01-28 14:07:27.763,-70,-94,-95,8.4,16.8,14
216,2019-01-28 14:07:42.280,-71,-93,-94,8.4,16.8,14
217,2019-01-28 14:08:21.434,-58,-90,-92,8.4,16.8,14
218,2019-01-28 14:08:38.270,-71,-98,-95,8.4,16.8,14
219,2019-01-28 14:09:06.260,-61,-85,-89,8.4,16.8,14
220,2019-01-28 14:09:14.120,-72,-88,-100,8.4,16.8,14
221,2019-01-28 14:09:34.292,-63,-86,-90,8.4,16.8,14
222,2019-01-28 14:09:54.415,-67,-90,-95,8.4,16.8,14
223,2019-01-28 14:09:58.927,-82,-92,-95,8.4,16.8,14
224,2019-01-28 14:10:02.262,-64,-85,-89,8.4,16.8,14
225,2019-01-28 14:10:07.854,-70,-93,-96,8.4,16.8,14
226,2019-01-28 14:10:10.076,-71,-94,-95,8.4,16.8,14
227,2019-01-28 14:10:57.123,-65,-94,-92,8.4,16.8,14
228,2019-01-28 14:11:26.966,-60,-98,-91,8.4,17.85,15
229,2019-01-28 14:11:31.432,-62,-93,-91,8.4,17.85,15
230,2019-01-28 14:12:07.349,-61,-92,-90,8.4,17.85,15
231,2019-01-28 14:12:11.811,-67,-98,-90,8.4,17.85,15
232,2019-01-28 14:12:26.409,-62,-91,-90,8.4,17.85,15
233,2019-01-28 14:12:31.999,-64,-91,-90,8.4,17.85,15
234,2019-01-28 14:12:33.112,-68,-88,-96,8.4,17.85,15
235,2019-01-28 14:12:34.222,-77,-91,-90,8.4,17.85,15
236,2019-01-28 14:12:44.325,-61,-93,-90,8.4,17.85,15
237,2019-01-28 14:12:46.564,-64,-89,-90,8.4,17.85,15
238,2019-01-28 14:12:47.676,-67,-88,-94,8.4,17.85,15
239,2019-01-28 14:12:52.138,-62,-96,-91,8.4,17.85,15
240,2019-01-28 14:12:55.489,-62,-94,-91,8.4,17.85,15
241,2019-01-28 14:12:56.622,-58,-91,-90,8.4,17.85,15
242,2019-01-28 14:12:58.842,-66,-89,-88,8.4,17.85,15
243,2019-01-28 14:13:01.078,-73,-89,-85,8.4,17.85,15
244,2019-01-28 14:13:02.193,-74,-88,-100,8.4,17.85,15
245,2019-01-28 14:13:03.304,-73,-90,-97,8.4,17.85,15
246,2019-01-28 14:13:04.415,-71,-91,-93,8.4,17.85,15
247,2019-01-28 14:13:06.656,-67,-92,-89,8.4,17.85,15
248,2019-01-28 14:13:45.957,-66,-86,-91,9.45,16.8,16
249,2019-01-28 14:13:52.672,-59,-87,-95,9.45,16.8,16
250,2019-01-28 14:13:59.408,-62,-89,-96,9.45,16.8,16
251,2019-01-28 14:14:17.340,-89,-93,-93,9.45,16.8,16
252,2019-01-28 14:15:04.434,-69,-87,-90,9.45,16.8,16
253,2019-01-28 14:15:06.673,-70,-88,-91,9.45,16.8,16
254,2019-01-28 14:15:27.993,-68,-91,-94,9.45,16.8,16
255,2019-01-28 14:15:36.922,-64,-90,-89,9.45,16.8,16
256,2019-01-28 14:15:44.766,-72,-89,-94,9.45,16.8,16
257,2019-01-28 14:15:45.878,-72,-89,-93,9.45,16.8,16
258,2019-01-28 14:15:48.133,-67,-96,-93,9.45,16.8,16
259,2019-01-28 14:16:02.748,-68,-96,-90,9.45,16.8,16
260,2019-01-28 14:16:03.859,-68,-96,-91,9.45,16.8,16
261,2019-01-28 14:16:06.099,-67,-96,-90,9.45,16.8,16
262,2019-01-28 14:16:16.236,-66,-90,-95,9.45,16.8,16
263,2019-01-28 14:16:20.700,-78,-88,-89,9.45,16.8,16
264,2019-01-29 09:23:42.344,-61,-86,-94,9.45,17.85,17
265,2019-01-29 09:23:57.992,-64,-91,-93,9.45,17.85,17
266,2019-01-29 09:24:15.885,-65,-89,-91,9.45,17.85,17
267,2019-01-29 09:24:22.591,-61,-95,-91,9.45,17.85,17
268,2019-01-29 09:24:23.715,-62,-90,-93,9.45,17.85,17
269,2019-01-29 09:24:27.044,-63,-88,-91,9.45,17.85,17
270,2019-01-29 09:24:28.171,-63,-91,-93,9.45,17.85,17
271,2019-01-29 09:24:29.281,-75,-88,-92,9.45,17.85,17
272,2019-01-29 09:24:31.534,-64,-90,-91,9.45,17.85,17
273,2019-01-29 09:24:34.895,-64,-90,-91,9.45,17.85,17
274,2019-01-29 09:24:38.251,-58,-84,-92,9.45,17.85,17
275,2019-01-29 09:24:42.737,-60,-92,-93,9.45,17.85,17
276,2019-01-29 09:24:49.459,-66,-94,-92,9.45,17.85,17
277,2019-01-29 09:24:56.195,-62,-82,-94,9.45,17.85,17
278,2019-01-29 09:24:57.306,-62,-88,-91,9.45,17.85,17
279,2019-01-29 09:24:58.414,-63,-87,-95,9.45,17.85,17
280,2019-01-29 09:25:21.410,-56,-83,-90,10.5,16.8,18
281,2019-01-29 09:25:24.754,-58,-88,-94,10.5,16.8,18
282,2019-01-29 09:25:25.880,-60,-84,-88,10.5,16.8,18
283,2019-01-29 09:25:26.989,-63,-81,-90,10.5,16.8,18
284,2019-01-29 09:25:34.836,-58,-84,-92,10.5,16.8,18
285,2019-01-29 09:25:35.945,-58,-84,-92,10.5,16.8,18
286,2019-01-29 09:25:37.070,-59,-86,-91,10.5,16.8,18
287,2019-01-29 09:25:39.289,-60,-87,-91,10.5,16.8,18
288,2019-01-29 09:25:40.414,-59,-88,-88,10.5,16.8,18
289,2019-01-29 09:25:42.665,-60,-84,-88,10.5,16.8,18
290,2019-01-29 09:25:44.900,-60,-92,-91,10.5,16.8,18
291,2019-01-29 09:25:49.369,-61,-93,-96,10.5,16.8,18
292,2019-01-29 09:25:50.495,-58,-83,-93,10.5,16.8,18
293,2019-01-29 09:25:51.605,-58,-83,-90,10.5,16.8,18
294,2019-01-29 09:25:54.949,-59,-84,-90,10.5,16.8,18
295,2019-01-29 09:25:56.075,-61,-84,-87,10.5,16.8,18
296,2019-01-29 09:25:57.184,-57,-86,-85,10.5,16.8,18
297,2019-01-29 09:26:21.033,-63,-95,-93,10.5,17.85,19
298,2019-01-29 09:26:23.268,-64,-94,-94,10.5,17.85,19
299,2019-01-29 09:26:24.377,-63,-92,-96,10.5,17.85,19
300,2019-01-29 09:26:32.221,-62,-85,-93,10.5,17.85,19
301,2019-01-29 09:26:33.332,-61,-89,-94,10.5,17.85,19
302,2019-01-29 09:26:34.441,-60,-84,-92,10.5,17.85,19
303,2019-01-29 09:26:37.800,-61,-91,-96,10.5,17.85,19
304,2019-01-29 09:27:03.492,-65,-88,-95,10.5,17.85,19
305,2019-01-29 09:27:15.809,-64,-86,-95,10.5,17.85,19
306,2019-01-29 09:27:23.620,-60,-91,-95,10.5,17.85,19
307,2019-01-29 09:27:34.759,-63,-85,-91,10.5,17.85,19
308,2019-01-29 09:27:36.994,-64,-85,-92,10.5,17.85,19
309,2019-01-29 09:27:38.119,-66,-84,-92,10.5,17.85,19
310,2019-01-29 09:27:39.246,-63,-90,-94,10.5,17.85,19
311,2019-01-29 09:28:02.686,-60,-82,-96,10.5,17.85,19
312,2019-01-29 09:28:03.791,-60,-86,-96,10.5,17.85,19
313,2019-01-29 09:28:04.900,-60,-88,-95,10.5,17.85,19
314,2019-01-29 09:28:20.434,-58,-85,-97,11.55,16.8,20
315,2019-01-29 09:28:49.431,-61,-84,-100,11.55,16.8,20
316,2019-01-29 09:28:50.539,-59,-92,-93,11.55,16.8,20
317,2019-01-29 09:28:53.899,-55,-93,-91,11.55,16.8,20
318,2019-01-29 09:28:55.024,-56,-92,-91,11.55,16.8,20
319,2019-01-29 09:29:06.212,-57,-91,-90,11.55,16.8,20
320,2019-01-29 09:29:07.338,-58,-95,-91,11.55,16.8,20
321,2019-01-29 09:29:08.447,-56,-93,-94,11.55,16.8,20
322,2019-01-29 09:29:11.790,-55,-91,-94,11.55,16.8,20
323,2019-01-29 09:29:19.635,-56,-85,-90,11.55,16.8,20
324,2019-01-29 09:29:22.995,-56,-95,-89,11.55,16.8,20
325,2019-01-29 09:29:24.120,-52,-89,-91,11.55,16.8,20
326,2019-01-29 09:29:31.948,-61,-91,-95,11.55,16.8,20
327,2019-01-29 09:29:36.416,-55,-89,-90,11.55,16.8,20
328,2019-01-29 09:29:39.761,-57,-91,-91,11.55,16.8,20
329,2019-01-29 09:29:48.716,-64,-88,-99,11.55,16.8,20
330,2019-01-29 09:29:49.825,-57,-90,-91,11.55,16.8,20
331,2019-01-29 09:30:06.641,-55,-87,-91,11.55,17.85,21
332,2019-01-29 09:30:14.452,-59,-94,-93,11.55,17.85,21
333,2019-01-29 09:30:16.686,-58,-91,-97,11.55,17.85,21
334,2019-01-29 09:30:18.902,-68,-87,-91,11.55,17.85,21
335,2019-01-29 09:30:25.622,-63,-90,-93,11.55,17.85,21
336,2019-01-29 09:30:26.747,-60,-88,-93,11.55,17.85,21
337,2019-01-29 09:30:28.982,-58,-89,-94,11.55,17.85,21
338,2019-01-29 09:30:32.341,-66,-88,-94,11.55,17.85,21
339,2019-01-29 09:30:33.466,-67,-93,-94,11.55,17.85,21
340,2019-01-29 09:30:35.699,-56,-86,-90,11.55,17.85,21
